exp batch.size run start.date start.time iter.date iter.time epoch epoch.total iter iter.total
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:00.560 6 10 16 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:04.187 7 10 1 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:06.849 7 10 2 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:09.507 7 10 3 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:12.409 7 10 4 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:15.054 7 10 5 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:17.703 7 10 6 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:20.365 7 10 7 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:23.111 7 10 8 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:25.831 7 10 9 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:28.575 7 10 10 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:31.306 7 10 11 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:34.025 7 10 12 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:36.763 7 10 13 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:39.489 7 10 14 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:42.218 7 10 15 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:44.938 7 10 16 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:48.347 8 10 1 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:51.017 8 10 2 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:53.679 8 10 3 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:56.666 8 10 4 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:16:59.314 8 10 5 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:01.966 8 10 6 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:04.618 8 10 7 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:07.339 8 10 8 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:10.061 8 10 9 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:12.808 8 10 10 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:15.560 8 10 11 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:18.276 8 10 12 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:21.014 8 10 13 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:23.762 8 10 14 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:26.519 8 10 15 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:29.243 8 10 16 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:32.921 9 10 1 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:35.579 9 10 2 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:38.234 9 10 3 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:41.082 9 10 4 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:43.742 9 10 5 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:46.558 9 10 6 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:49.228 9 10 7 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:51.886 9 10 8 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:54.614 9 10 9 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:17:57.338 9 10 10 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:00.082 9 10 11 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:02.819 9 10 12 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:05.572 9 10 13 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:08.321 9 10 14 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:11.079 9 10 15 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:13.803 9 10 16 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:17.140 10 10 1 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:19.803 10 10 2 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:22.536 10 10 3 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:25.304 10 10 4 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:28.213 10 10 5 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:30.882 10 10 6 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:33.540 10 10 7 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:36.252 10 10 8 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:39.086 10 10 9 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:41.741 10 10 10 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:44.497 10 10 11 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:47.235 10 10 12 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:49.960 10 10 13 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:52.720 10 10 14 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:55.448 10 10 15 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:18:58.190 10 10 16 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:15:18.091 1 10 1 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:15:20.911 1 10 2 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:15:23.551 1 10 3 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:15:26.454 1 10 4 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:15:29.103 1 10 5 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:15:31.741 1 10 6 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:15:34.522 1 10 7 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:15:37.166 1 10 8 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:15:39.864 1 10 9 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:15:42.583 1 10 10 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:15:45.295 1 10 11 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:15:48.023 1 10 12 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:15:50.751 1 10 13 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:15:53.472 1 10 14 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:15:56.271 1 10 15 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:15:58.932 1 10 16 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:02.159 2 10 1 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:04.892 2 10 2 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:07.794 2 10 3 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:10.448 2 10 4 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:13.082 2 10 5 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:15.738 2 10 6 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:18.627 2 10 7 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:21.270 2 10 8 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:23.925 2 10 9 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:26.661 2 10 10 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:29.376 2 10 11 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:32.099 2 10 12 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:34.811 2 10 13 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:37.556 2 10 14 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:40.285 2 10 15 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:43.012 2 10 16 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:46.531 3 10 1 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:49.201 3 10 2 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:51.855 3 10 3 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:54.499 3 10 4 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:16:57.350 3 10 5 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:00.065 3 10 6 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:02.722 3 10 7 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:05.384 3 10 8 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:08.119 3 10 9 16
